8 	 3.234 	 0.0205 
10 	 3.261 	 0.0158 
12 	 3.307 	 0.0128 
14 	 3.370 	 0.0112 
16 	 3.439 	 0.0105 
18 	 3.513 	 0.0104 
20 	 3.587 	 0.0105 
22 	 3.643 	 0.0118 
24 	 3.692 	 0.0133 
26 	 3.742 	 0.0152 
28 	 3.780 	 0.0168 
30 	 3.810 	 0.0176 
32 	 3.812 	 0.0215 
35 	 3.832 	 0.0239 
40 	 3.851 	 0.0321 
45 	 3.828 	 0.0395 
50 	 3.885 	 0.0458 
