   8.00000000       3.10446167    	2.83705354
   10.0000000       3.16927862    	2.90191674
   12.0000000       3.22379899    	2.94160724
   14.0000000       3.27372766    	2.96427202
   16.0000000       3.32219601    	2.97536659
   18.0000000       3.37091446    	2.97985864
   20.0000000       3.42060494    	2.98278785
   22.0000000       3.47124124    	2.98862886
   24.0000000       3.52225876    	3.00146246
   26.0000000       3.57275677    	3.02383304
   28.0000000       3.62171245    	3.05636501
   30.0000000       3.66817665    	3.09867096
   32.0000000       3.71140862    	3.14890337
   35.0000000       3.76926517    	3.23388386
   40.0000000       3.84662533    	3.38127446
   45.0000000       3.90323210    	3.51478553
   50.0000000       3.94422174    	3.62450004
