   8.00000000       3.04287434    	2.74707317
   10.0000000       3.11575770    	2.81828499
   12.0000000       3.17740202    	2.86050773
   14.0000000       3.23488331    	2.87959743
   16.0000000       3.29251719    	2.88201189
   18.0000000       3.35258508    	2.87679172
   20.0000000       3.41566062    	2.87392402
   22.0000000       3.48088598    	2.88223934
   24.0000000       3.54635668    	2.90850472
   26.0000000       3.60970116    	2.95504951
   28.0000000       3.66875529    	3.01949596
   30.0000000       3.72205782    	3.09623170
   32.0000000       3.76901650    	3.17831254
   35.0000000       3.82793975    	3.29947996
   40.0000000       3.90085959    	3.47211289
   45.0000000       3.95171857    	3.60035610
   50.0000000       3.98868990    	3.69338202
