   8.00000000       2.99302053    	2.66342807
   10.0000000       3.07304549    	2.75638437
   12.0000000       3.13835263    	2.80880451
   14.0000000       3.19779515    	2.83646584
   16.0000000       3.25574255    	2.84970307
   18.0000000       3.31403804    	2.85889554
   20.0000000       3.37283683    	2.87209439
   22.0000000       3.43121910    	2.89545679
   24.0000000       3.48778749    	2.93133450
   26.0000000       3.54117489    	2.97881556
   28.0000000       3.59040308    	3.03478956
   30.0000000       3.63500237    	3.09542847
   32.0000000       3.67494774    	3.15675402
   35.0000000       3.72679877    	3.24508667
   40.0000000       3.79550767    	3.37214208
   45.0000000       3.84793568    	3.47324204
   50.0000000       3.88906884    	3.55393004
