   8.00000000       3.15046000    	2.92224622
   10.0000000       3.20571542    	2.97123241
   12.0000000       3.25404668    	2.99475217
   14.0000000       3.30096817    	2.99967933
   16.0000000       3.34939837    	2.99424434
   18.0000000       3.40039301    	2.98720026
   20.0000000       3.45359898    	2.98716927
   22.0000000       3.50770283    	2.99988937
   24.0000000       3.56093240    	3.02834129
   26.0000000       3.61156917    	3.07139659
   28.0000000       3.65833068    	3.12541556
   30.0000000       3.70052958    	3.18614125
   32.0000000       3.73800278    	3.24903417
   35.0000000       3.78587675    	3.34054542
   40.0000000       3.84720087    	3.47312379
   45.0000000       3.89163136    	3.57752228
   50.0000000       3.92463422    	3.65790009
