   8.00000000       3.15847278    	3.01699376
   10.0000000       3.19258118    	3.03753400
   12.0000000       3.22572160    	3.03189158
   14.0000000       3.26223803    	3.01093745
   16.0000000       3.30359125    	2.98728681
   18.0000000       3.34923577    	2.97193074
   20.0000000       3.39727712    	2.97366810
   22.0000000       3.44515562    	2.99613261
   24.0000000       3.49041200    	3.03841901
   26.0000000       3.53129125    	3.09450316
   28.0000000       3.56699109    	3.15722060
   30.0000000       3.59750772    	3.22071838
   32.0000000       3.62332964    	3.28006411
   35.0000000       3.65479612    	3.35710502
   40.0000000       3.69340086    	3.45228672
   45.0000000       3.72129273    	3.51488900
   50.0000000       3.74302220    	3.55693221
