   8.00000000       2.86401677    	2.14145136
   10.0000000       3.03648305    	2.51511765
   12.0000000       3.13941717    	2.69539237
   14.0000000       3.21673369    	2.78684902
   16.0000000       3.28447747    	2.83142757
   18.0000000       3.34946156    	2.85358930
   20.0000000       3.41419291    	2.86977625
   22.0000000       3.47878575    	2.89173412
   24.0000000       3.54204845    	2.92680883
   26.0000000       3.60232306    	2.97660398
   28.0000000       3.65813065    	3.03907061
   30.0000000       3.70856237    	3.10981750
   32.0000000       3.75333834    	3.18358994
   35.0000000       3.81043887    	3.29112649
   40.0000000       3.88342834    	3.44570589
   45.0000000       3.93653202    	3.56442881
   50.0000000       3.97652268    	3.65472531
