   8.00000000       3.15754914    	3.00110006
   10.0000000       3.19713807    	3.01168489
   12.0000000       3.23810339    	2.99850535
   14.0000000       3.28405643    	2.97411156
   16.0000000       3.33574724    	2.95149803
   18.0000000       3.39191318    	2.94220352
   20.0000000       3.44994235    	2.95413136
   22.0000000       3.50673127    	2.98904967
   24.0000000       3.55960965    	3.04362798
   26.0000000       3.60694408    	3.11030436
   28.0000000       3.64822769    	3.18057871
   30.0000000       3.68377113    	3.24854779
   32.0000000       3.71430016    	3.31054902
   35.0000000       3.75252247    	3.38985968
   40.0000000       3.80201864    	3.48697424
   45.0000000       3.84040475    	3.55301762
   50.0000000       3.87204719    	3.60122085
