   8.00000000       2.85597825    	2.09806800
   10.0000000       3.03651714    	2.49886894
   12.0000000       3.14326739    	2.68597436
   14.0000000       3.22285557    	2.78436017
   16.0000000       3.29182649    	2.83300543
   18.0000000       3.35780859    	2.85391688
   20.0000000       3.42418146    	2.86386728
   22.0000000       3.49176860    	2.87566733
   24.0000000       3.55970979    	2.89947581
   26.0000000       3.62618303    	2.94057322
   28.0000000       3.68912387    	2.99960899
   30.0000000       3.74685931    	3.07323480
   32.0000000       3.79844427    	3.15535879
   35.0000000       3.86398888    	3.28176165
   40.0000000       3.94578314    	3.47042966
   45.0000000       4.00260735    	3.61587834
   50.0000000       4.04333019    	3.72299600
