   8.00000000       2.72196269    	1.96442831
   10.0000000       2.92496157    	2.30199814
   12.0000000       3.05668426    	2.51106811
   14.0000000       3.15402174    	2.64508152
   16.0000000       3.23408294    	2.72839928
   18.0000000       3.30605078    	2.77812958
   20.0000000       3.37481666    	2.80836320
   22.0000000       3.44257426    	2.83180261
   24.0000000       3.50971580    	2.85842443
   26.0000000       3.57547545    	2.89520001
   28.0000000       3.63849616    	2.94532943
   30.0000000       3.69734097    	3.00948477
   32.0000000       3.75090170    	3.08421421
   35.0000000       3.82017922    	3.20729303
   40.0000000       3.90736580    	3.40799713
   45.0000000       3.96656680    	3.57414627
   50.0000000       4.00686121    	3.69949007
