   8.00000000       3.14818978    	3.01009202
   10.0000000       3.18465090    	3.00502634
   12.0000000       3.22602510    	2.97570968
   14.0000000       3.27562785    	2.93655562
   16.0000000       3.33372664    	2.90300655
   18.0000000       3.39824533    	2.88877273
   20.0000000       3.46547222    	2.90309358
   22.0000000       3.53119206    	2.94649911
   24.0000000       3.59195948    	3.01296401
   26.0000000       3.64585805    	3.09218597
   28.0000000       3.69245720    	3.17391849
   30.0000000       3.73229575    	3.25176477
   32.0000000       3.76633096    	3.32195473
   35.0000000       3.80872369    	3.41113687
   40.0000000       3.86312747    	3.52144194
   45.0000000       3.90460634    	3.59880853
   50.0000000       3.93797445    	3.65671659
