   8.00000000       3.13592768    	2.92688537
   10.0000000       3.18556595    	2.97640491
   12.0000000       3.22779155    	3.00164366
   14.0000000       3.26789904    	3.00940156
   16.0000000       3.30850148    	3.00863457
   18.0000000       3.35034537    	3.00783563
   20.0000000       3.39295912    	3.01403522
   22.0000000       3.43523288    	3.03073812
   24.0000000       3.47592092    	3.05856776
   26.0000000       3.51401353    	3.09536123
   28.0000000       3.54891467    	3.13774204
   30.0000000       3.58044362    	3.18217540
   32.0000000       3.60872650    	3.22607446
   35.0000000       3.64574218    	3.28701830
   40.0000000       3.69604754    	3.37072349
   45.0000000       3.73628449    	3.43504143
   50.0000000       3.76966310    	3.48625374
