   8.00000000       2.96331334    	2.56007576
   10.0000000       3.07935166    	2.58918166
   12.0000000       3.19688320    	2.61799622
   14.0000000       3.31270957    	2.67654061
   16.0000000       3.41935587    	2.77167082
   18.0000000       3.51130199    	2.89039636
   20.0000000       3.58713007    	3.01483059
   22.0000000       3.64825368    	3.13279247
   24.0000000       3.69709611    	3.23936534
   26.0000000       3.73608088    	3.33266091
   28.0000000       3.76726794    	3.41371274
   30.0000000       3.79230380    	3.48349810
   32.0000000       3.81247973    	3.54330611
   35.0000000       3.83576751    	3.61750126
   40.0000000       3.86165285    	3.70885777
   45.0000000       3.87734699    	3.77082086
   50.0000000       3.88698459    	3.81343722
