   8.00000000       2.97590113    	2.54726815
   10.0000000       3.08589506    	2.66020536
   12.0000000       3.17889977    	2.72200823
   14.0000000       3.26567316    	2.76237750
   16.0000000       3.34886932    	2.80498886
   18.0000000       3.42727470    	2.86172080
   20.0000000       3.49872088    	2.93379092
   22.0000000       3.56174922    	3.01571918
   24.0000000       3.61607194    	3.10030079
   26.0000000       3.66232896    	3.18151712
   28.0000000       3.70161247    	3.25581169
   30.0000000       3.73512459    	3.32153487
   32.0000000       3.76396036    	3.37871933
   35.0000000       3.80042696    	3.44989896
   40.0000000       3.84849215    	3.53899097
   45.0000000       3.88616872    	3.60370016
   50.0000000       3.91701341    	3.65432096
