   8.00000000       3.11474109    	2.88630080
   10.0000000       3.16886759    	2.94382906
   12.0000000       3.21437883    	2.97280312
   14.0000000       3.25732660    	2.98283315
   16.0000000       3.30057526    	2.98370075
   18.0000000       3.34499192    	2.98409200
   20.0000000       3.39019537    	2.99071383
   22.0000000       3.43513155    	3.00778341
   24.0000000       3.47851610    	3.03637743
   26.0000000       3.51921177    	3.07551384
   28.0000000       3.55643868    	3.12208223
   30.0000000       3.58984017    	3.17266941
   32.0000000       3.61942506    	3.22402859
   35.0000000       3.65721440    	3.29761791
   40.0000000       3.70589161    	3.40197206
   45.0000000       3.74173307    	3.48208690
   50.0000000       3.76904750    	3.54284859
