   8.00000000       2.93992662    	2.65107560
   10.0000000       3.01252913    	2.71336579
   12.0000000       3.07490778    	2.75618362
   14.0000000       3.13244700    	2.78225923
   16.0000000       3.18823361    	2.79890561
   18.0000000       3.24341869    	2.81462336
   20.0000000       3.29782104    	2.83567142
   22.0000000       3.35055685    	2.86560440
   24.0000000       3.40058422    	2.90487885
   26.0000000       3.44706464    	2.95145941
   28.0000000       3.48955965    	3.00235653
   30.0000000       3.52800155    	3.05440402
   32.0000000       3.56260514    	3.10513496
   35.0000000       3.60814834    	3.17555475
   40.0000000       3.67058015    	3.27382946
   45.0000000       3.72087598    	3.35128760
   50.0000000       3.76266885    	3.41457915
