   8.00000000       2.77476764    	2.18059874
   10.0000000       2.93054533    	2.40073705
   12.0000000       3.04347610    	2.54165339
   14.0000000       3.13617444    	2.62521744
   16.0000000       3.22060370    	2.67250752
   18.0000000       3.30246282    	2.70275664
   20.0000000       3.38352680    	2.73260403
   22.0000000       3.46316099    	2.77302790
   24.0000000       3.53955746    	2.82890916
   26.0000000       3.61079025    	2.89957023
   28.0000000       3.67550206    	2.98063064
   30.0000000       3.73313689    	3.06659937
   32.0000000       3.78381443    	3.15239429
   35.0000000       3.84802413    	3.27426600
   40.0000000       3.92969632    	3.44712186
   45.0000000       3.98862076    	3.58214116
   50.0000000       4.03225136    	3.68694568
