   8.00000000       3.04812908    	2.88702083
   10.0000000       3.08531880    	2.92748785
   12.0000000       3.11673474    	2.94458890
   14.0000000       3.14724088    	2.94354343
   16.0000000       3.17959809    	2.93005466
   18.0000000       3.21521068    	2.91013765
   20.0000000       3.25448585    	2.89010668
   22.0000000       3.29704547    	2.87571812
   24.0000000       3.34190488    	2.87198448
   26.0000000       3.38768435    	2.88192606
   28.0000000       3.43288326    	2.90626621
   30.0000000       3.47615910    	2.94333100
   32.0000000       3.51653266    	2.98989534
   35.0000000       3.57056713    	3.06940532
   40.0000000       3.64322662    	3.20176530
   45.0000000       3.69798660    	3.31416583
   50.0000000       3.73995328    	3.40348506
