   8.00000000       2.99308729    	2.61044502
   10.0000000       3.10461354    	2.61809587
   12.0000000       3.22542953    	2.61414146
   14.0000000       3.35281992    	2.65190458
   16.0000000       3.47315860    	2.76292968
   18.0000000       3.57269406    	2.93215227
   20.0000000       3.64671230    	3.11712623
   22.0000000       3.69840908    	3.28395057
   24.0000000       3.73347378    	3.41972232
   26.0000000       3.75697589    	3.52435160
   28.0000000       3.77264047    	3.60318351
   30.0000000       3.78302383    	3.66146636
   32.0000000       3.78984451    	3.70455742
   35.0000000       3.79582119    	3.74807882
   40.0000000       3.79975438    	3.78518701
   45.0000000       3.80059886    	3.79852438
   50.0000000       3.80066252    	3.80037880
