   8.00000000       3.12176943    	2.89544129
   10.0000000       3.17468810    	2.95666933
   12.0000000       3.21828580    	2.98779225
   14.0000000       3.25895214    	2.99838924
   16.0000000       3.29991841    	2.99710608
   18.0000000       3.34250450    	2.99208498
   20.0000000       3.38675475    	2.99053049
   22.0000000       3.43184495    	2.99850702
   24.0000000       3.47644496    	3.01936913
   26.0000000       3.51909447    	3.05397582
   28.0000000       3.55854869    	3.10057497
   30.0000000       3.59399390    	3.15546703
   32.0000000       3.62511230    	3.21430016
   35.0000000       3.66392255    	3.30205464
   40.0000000       3.71105099    	3.42876124
   45.0000000       3.74257994    	3.52347898
   50.0000000       3.76427269    	3.59113359
