   8.00000000       3.12909508    	2.80140591
   10.0000000       3.20548081    	2.91017509
   12.0000000       3.26462984    	2.96397972
   14.0000000       3.31861925    	2.98088527
   16.0000000       3.37321568    	2.97898555
   18.0000000       3.43033409    	2.97474670
   20.0000000       3.48948026    	2.98030424
   22.0000000       3.54883456    	3.00239921
   24.0000000       3.60621166    	3.04209638
   26.0000000       3.65983438    	3.09547734
   28.0000000       3.70868468    	3.15670061
   30.0000000       3.75248003    	3.22060251
   32.0000000       3.79143882    	3.28311300
   35.0000000       3.84186816    	3.36969757
   40.0000000       3.90901303    	3.49069262
   45.0000000       3.96087265    	3.58687973
   50.0000000       4.00198841    	3.66507936
